,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
147,0.512818165,0.49864516,0.086290674,0.086247555,0.086380867,0.086364115,0.50150637,Inf,0.364885632,0.364885632,0.364885632,0.04625,0.319175983,0.319175983,0.016543671,0.016543671,0.323027745,0.049582095,12,Inf,0,1.26254103,1.26254103,1.26254103,0.260503859,0.223606798
148,14.15132614,14.15132727,14.1291134,14.13011415,14.12874105,14.13133453,14.15131613,Inf,13.65509563,13.65509563,13.65509563,10.99403643,12.09920757,12.09920757,9.413173044,9.413173044,12.1413766,6.046788468,12,Inf,37.643103,11.50277506,11.50277506,11.50277506,12.17067376,15.76098229
149,-12.45802412,-12.45801844,-12.45799189,-12.4579638,-12.45801349,-12.44862783,-12.45805846,-Inf,-11.76732629,-11.76732629,-11.76732629,-9.360837871,-10.24409328,-10.24409328,-7.839817587,-7.839817587,-10.22096417,-4.774256923,-12,#NAME?,#NAME?,-10.17078179,-10.17078179,-10.17078179,-10.32046939,26.14906917
150,-11.39291178,-11.3929117,-11.39289938,-11.39288089,-11.39291167,-11.3882942,-11.39293105,-Inf,-10.70008171,-10.70008171,-10.70008171,-8.263438722,-9.181019652,-9.181019652,-6.779661716,-6.779661716,-9.164711446,-4.077182499,-12,#NAME?,#NAME?,-9.439223004,-9.439223004,-9.439223004,-9.252039045,23.34455432
151,-6.642333598,-6.642357202,-6.59445114,-6.588176637,-6.600559306,-6.580147367,-6.642199786,-Inf,-5.925865256,-5.925865256,-5.925865256,-3.058584311,-4.052166696,-4.052166696,-2.082590133,-2.082590133,-4.320414649,-2.028006735,-12,#NAME?,#NAME?,-6.135902228,-6.135902228,-6.135902228,-4.474487585,2.800292319
152,-0.455469123,-0.452892372,-0.059917137,-0.059906195,-0.059916759,-0.059897713,-0.453460616,-Inf,0.076349776,0.076349776,0.076349776,-0.05,0.168706889,0.168706889,-0.018141991,-0.018141991,0.197978175,-0.051677206,-12,#NAME?,0,-0.954868399,-0.954868399,-0.954868399,0.148391282,0.223606798
153,-10.21713491,-10.21711999,-10.16632155,-10.17389128,-10.15083575,-10.17964267,-10.21721316,-Inf,-9.533223204,-9.533223204,-9.533223204,-6.103207991,-7.141031755,-7.141031755,-4.841677839,-4.841677839,-7.142597187,-3.157924562,-12,#NAME?,#NAME?,-8.65023737,-8.65023737,-8.65023737,-8.084366832,2.785480582
154,-11.33765112,-11.33765098,-11.2532865,-11.24296791,-11.26023455,-11.20349302,-11.33768955,-Inf,-10.64842123,-10.64842123,-10.64842123,-8.113397504,-9.059973401,-9.059973401,-6.662199595,-6.662199595,-8.958322428,-4.01686389,-12,#NAME?,#NAME?,-9.397161778,-9.397161778,-9.397161778,-9.204075719,15.45331568
155,8.216234007,8.216186154,7.274805905,7.280323695,7.266966937,7.286443112,8.216711903,Inf,7.708295904,7.708295904,7.708295904,4.153660124,4.997431436,4.997431436,2.677491152,2.677491152,5.131702479,2.261755922,12,Inf,30.60521711,7.402818732,7.402818732,7.402818732,6.21608442,2.132794467
156,2.300451908,2.298546334,2.072542016,2.06475589,2.07749069,2.057951961,2.311112347,Inf,1.543477848,1.543477848,1.543477848,0.434112196,0.909563773,0.909563773,0.196610492,0.196610492,0.836531652,0.425762183,12,Inf,0,3.144495928,3.144495928,3.144495928,0.835525568,0.677126123
