,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
72,7.43E-09,3.01E-10,2.20E-08,2.08E-08,2.50E-08,1.92E-08,3.55E-06,0.011596709,0.000123535,0.000123535,0.000123535,1.79E-06,6.79E-12,7.17E-12,0.000339301,0.000345284,1.04E-11,5.45E-18,1.89E-07,0.000409326,0,3.80E-10,1.51E-10,8.16E-11,0.178084386,1.368438613
73,1.16E-207,2.92E-224,4.67E-300,0,4.12E-230,0,3.28E-26,4.02E-74,4.83E-142,4.83E-142,4.83E-142,8.23E-57,2.45E-53,3.20E-53,2.87E-46,3.34E-48,6.38E-54,1.57E-49,0,0,0,4.29E-51,3.19E-48,6.40E-48,2.44E-15,37.89388207
74,7.28E-08,7.62E-09,3.21E-07,6.99E-07,2.51E-07,2.53E-06,3.02E-05,0.000100644,0.000147034,0.000147034,0.000147034,0.001405622,3.58E-06,3.73E-06,0.00236679,0.002398355,1.51E-05,6.59E-05,6.03E-06,0.000300518,0.00991,2.72E-08,1.05E-08,1.08E-08,0.081296463,0.79611361
75,7.02E-113,2.48E-118,1.80E-214,1.22E-245,6.21E-188,2.95770590731056e-313,3.10E-17,9.94E-28,3.99E-108,3.99E-108,3.99E-108,1.92E-38,2.08E-40,2.62E-40,1.19E-35,3.49E-36,5.67E-41,7.40E-33,0,0,0,7.80E-29,1.52E-30,5.94E-31,0,12.77529544
76,4.48E-08,1.11E-09,2.56E-09,2.56E-09,2.86E-09,2.56E-09,5.41E-10,0.002562025,5.18E-06,5.18E-06,5.18E-06,3.28E-19,1.89E-19,2.34E-19,1.27E-14,1.40E-14,1.99E-20,8.93E-27,1.48E-08,0.000725389,0,1.57E-23,3.51E-21,1.35E-19,0.161260824,3.627141004
77,3.53E-44,3.18E-46,2.59E-48,7.02E-46,7.12E-52,4.08E-43,1.23E-11,9.93E-23,6.19E-54,6.19E-54,6.19E-54,6.65E-20,7.12E-24,8.69E-24,2.71E-17,2.40E-17,1.67E-25,2.21E-21,0,0,0,3.08E-19,2.10E-20,1.26E-20,0,3.856744388
78,1.24E-16,1.41E-18,2.30E-18,6.89E-18,5.53E-19,1.98E-17,2.66E-08,2.58E-09,1.92E-15,1.92E-15,1.92E-15,5.19E-09,1.19E-14,1.33E-14,2.64E-07,2.90E-07,3.09E-14,5.86E-17,3.95E-11,5.18E-05,0,1.75E-13,3.69E-14,5.41E-14,0.001491875,1.704913373
79,6.29E-179,2.88E-191,1.49E-267,6.19E-300,2.80E-236,0,6.22E-21,4.87E-80,7.77E-137,7.77E-137,7.77E-137,2.35E-45,8.81E-46,9.71E-46,4.34E-40,9.12E-41,1.04E-46,5.02E-38,0,0,0,4.78E-36,9.01E-38,3.24E-38,1.22E-15,17.06481941
80,5.99E-296,2.82E-308,0,0,0,0,1.91E-23,1.77E-87,1.91E-165,1.91E-165,1.91E-165,1.23E-49,2.09E-47,2.28E-47,1.47E-45,5.11E-46,1.01E-49,5.52E-42,0,0,0,3.13E-40,3.29E-42,1.37E-42,1.22E-15,22.85611867
81,NA,0.268470041,0.723101582,0.723116558,0.723130761,0.723175858,0.264939287,NA,NA,NA,NA,0.414627737,0.227743514,0.22932139,0.411349227,0.39806739,0.141682117,0.385714612,0.294730559,0.266512953,NA,0.005502106,0.009416186,0.0051078,0.850750429,0.223606798
