,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
130,0,0,0,0,0,0,4.50E-26,3.45E-98,5.83E-207,5.83E-207,5.83E-207,4.46E-52,3.13E-50,3.42E-50,1.35E-50,1.54E-50,9.33E-52,2.89E-47,0,0,0,1.23E-44,1.03E-46,8.63E-47,8.77E-15,31.41275072
131,9.24E-242,1.68E-258,1.14339636154456e-318,0,7.35E-292,0,4.08E-23,7.21E-84,8.15E-155,8.15E-155,8.15E-155,3.66E-49,4.71E-48,5.26E-48,5.05E-43,1.02E-43,2.25E-49,7.75E-42,0,0,0,1.35E-40,3.33E-42,2.61E-42,5.55E-16,21.49240679
132,1.28E-34,2.42E-36,5.28E-38,9.93E-36,1.62E-41,3.42E-33,3.27E-10,3.27E-15,1.28E-43,1.28E-43,1.28E-43,1.20E-16,1.31E-20,1.56E-20,3.53E-13,3.47E-13,7.67E-21,4.42E-18,4.99E-15,0,0,7.74E-17,7.09E-18,4.04E-18,4.66E-15,2.799805462
133,3.22E-184,2.99E-199,2.03E-242,8.52E-256,2.98E-229,2.42E-279,3.31E-21,8.64E-81,8.78E-140,8.78E-140,8.78E-140,7.21E-44,1.74E-44,1.89E-44,3.84E-39,9.82E-40,1.20E-45,3.00E-38,0,0,0,1.42E-36,2.71E-38,1.06E-38,3.33E-16,16.33432776
134,5.26E-158,1.51E-165,5.39E-192,2.22E-188,2.12E-197,1.55E-183,5.45E-19,1.89E-75,5.96E-128,5.96E-128,5.96E-128,7.55E-41,7.08E-40,9.90E-40,1.10E-36,4.52E-37,8.62E-42,1.63E-33,0,0,0,2.04E-31,2.52E-33,1.14E-33,5.55E-16,12.81814804
135,0.000525161,6.38E-05,6.04E-05,6.04E-05,6.03E-05,6.04E-05,5.83E-05,0.086077419,0.067789059,0.067789059,0.067789059,1.24E-06,0.000144289,0.000148225,2.15E-06,1.97E-06,0.000220545,6.19E-07,0.002271163,0.003772021,0.00744,2.68E-09,3.84E-09,3.39E-09,0.45926793,1.28707092
136,0,0,0,0,0,0,1.32E-23,3.93E-95,1.09E-185,1.09E-185,1.09E-185,1.59E-52,2.83E-47,3.28E-47,6.97E-47,5.37E-47,8.29E-49,3.88E-42,0,0,0,1.86E-38,9.94E-41,3.88E-41,3.66E-15,23.08405868
137,3.12E-45,7.82E-46,7.52E-50,2.09E-48,4.62E-52,8.93E-47,1.88E-12,6.26E-44,6.40E-53,6.40E-53,6.40E-53,1.26E-17,2.59E-21,3.09E-21,1.97E-16,1.81E-16,3.97E-22,2.23E-21,0,0,0,6.11E-21,5.17E-22,3.34E-22,2.22E-16,3.259699434
138,0.5018623,0.122802013,0.394835914,0.39499786,0.395030518,0.395374128,0.114897561,0.881926878,0.190640864,0.190640864,0.190640864,0.208335869,0.458352784,0.459907853,0.215554894,0.205341547,0.253934274,0.183785365,0.311185906,0.139478411,0.47675,0.001200876,0.001806592,0.001078859,0.898869717,0.324384287
139,3.21E-45,3.05E-47,6.38E-50,2.51E-47,6.13E-54,2.15E-44,1.11E-11,4.72E-22,1.43E-55,1.43E-55,1.43E-55,7.07E-21,4.07E-24,4.97E-24,5.76E-17,5.14E-17,2.35E-23,6.11E-21,0,0,0,2.96E-19,1.93E-20,1.13E-20,5.00E-15,3.701183325
140,2.28E-22,1.93E-23,8.22E-24,4.16E-23,7.94E-25,3.05E-22,7.68E-09,6.71E-11,2.32E-24,2.32E-24,2.32E-24,1.63E-11,1.93E-16,2.19E-16,6.72E-09,7.64E-09,5.43E-16,5.76E-17,2.91E-12,1.55E-05,0,1.40E-14,2.29E-15,2.24E-15,8.88E-16,1.965527653
141,2.16E-41,8.56E-42,5.81E-50,3.60E-55,1.95E-44,1.64E-63,5.66E-14,1.36E-22,4.97E-43,4.97E-43,4.97E-43,1.13E-24,1.83E-29,2.02E-29,9.27E-22,1.39E-21,1.49E-30,6.71E-32,0,1.73E-06,0,3.32E-24,9.23E-25,2.62E-24,0.00040562,5.667057429
142,1.68E-254,2.01E-274,0,0,1.29E-300,0,2.67E-24,4.22E-83,9.69E-155,9.69E-155,9.69E-155,1.60E-48,2.56E-49,2.92E-49,2.64E-44,3.63E-45,3.85E-49,6.35E-43,0,0,0,7.20E-42,3.00E-43,2.53E-43,1.78E-15,22.58945689
143,0.250975832,0.037424253,0.115522746,0.115752884,0.115815763,0.116255955,0.031550454,0.643678262,0.825089612,0.825089612,0.825089612,0.095605916,0.001027514,0.001064305,0.096744503,0.092155121,0.001743648,0.084271564,0.221437895,0.062134715,0.51919,8.57E-05,0.000123857,8.10E-05,0.591012549,0.409279074
144,5.89E-37,4.36E-37,1.50E-42,1.39E-43,2.23E-41,5.25E-45,3.77E-12,1.17E-19,3.23E-41,3.23E-41,3.23E-41,1.88E-19,6.05E-25,7.37E-25,3.28E-17,3.72E-17,5.55E-25,6.65E-26,2.45E-16,0,0,4.98E-21,7.72E-22,7.63E-22,7.49E-07,3.957613973
145,2.56E-12,1.65E-12,1.80E-11,3.60E-10,2.37E-13,7.35E-09,9.29E-06,7.55E-08,4.26E-10,4.26E-10,4.26E-10,0.000229887,5.96E-06,6.22E-06,0.000480258,0.000495084,3.98E-06,2.06E-05,3.16E-07,3.80E-05,0.0014,4.65E-09,1.29E-09,1.01E-09,3.33E-16,0.909260695
146,8.49E-19,4.79E-21,1.47E-22,1.55E-22,1.43E-22,1.36E-22,2.47E-09,5.62E-09,7.34E-18,7.34E-18,7.34E-18,3.49E-12,8.31E-18,8.96E-18,1.95E-09,2.32E-09,3.39E-17,1.33E-20,4.64E-12,5.18E-05,0,2.95E-15,5.90E-16,1.23E-15,0.005096378,2.195650897
147,NA,0.221025778,0.630895164,0.630929407,0.630927586,0.630998181,0.21448154,NA,0.901779745,0.901779745,0.901779745,0.42796233,0.007055829,0.007308037,0.445690634,0.429323817,0.004469728,0.398475747,0.272571078,0.231132988,0.50181,0.001174055,0.002656325,0.001113615,0.696637718,0.223606798
148,4.03E-232,3.73E-239,3.32E-268,8.50E-260,2.60E-280,4.22E-250,7.60E-21,3.12E-92,1.12E-160,1.12E-160,1.12E-160,4.23E-44,3.73E-43,5.37E-43,7.85E-40,4.31E-40,8.61E-43,8.79E-37,0,0,0,1.59E-35,1.13E-37,4.16E-38,9.99E-16,15.76098229
149,2.48E-198,5.26E-216,1.20E-278,0,3.83E-228,0,8.71E-25,1.03E-72,9.56E-137,9.56E-137,9.56E-137,3.03E-51,1.73E-48,2.02E-48,2.29E-44,8.95E-46,4.53E-49,1.93E-45,0,0,0,4.74E-45,8.35E-45,3.23E-45,0,26.14906917
150,2.97E-137,6.10E-140,9.58E-178,8.93E-228,4.77E-140,0,3.45E-23,1.15E-62,1.87E-113,1.87E-113,1.87E-113,1.22E-46,2.40E-46,2.88E-46,2.10E-41,5.20E-43,2.33E-47,4.03E-45,0,0,0,3.14E-44,2.54E-42,5.32E-42,7.44E-15,23.34455432
151,9.59E-23,2.54E-25,4.83E-26,2.12E-26,1.74E-25,5.80E-27,7.86E-11,5.43E-17,1.07E-22,1.07E-22,1.07E-22,4.53E-16,7.71E-19,8.34E-19,1.36E-12,1.97E-12,5.13E-21,2.93E-23,4.35E-14,5.01E-05,0,3.17E-18,6.82E-19,1.65E-18,0,2.800292319
152,NA,0.269359064,0.706920636,0.706939296,0.70695115,0.707001415,0.26493928,NA,NA,NA,NA,0.414627737,0.188993456,0.190640864,0.428050373,0.413191405,0.1053338,0.392298089,0.295428326,0.266512953,0.38782,0.004881892,0.008670173,0.004571821,0.83826162,0.223606798
153,3.14E-36,7.45E-37,1.69E-39,7.22E-38,4.63E-42,4.91E-36,4.18E-11,2.57E-29,6.94E-43,6.94E-43,6.94E-43,5.03E-15,7.16E-20,8.42E-20,8.35E-14,8.30E-14,1.45E-21,1.76E-19,2.04E-15,0,0,2.21E-18,2.27E-19,1.35E-19,0,2.785480582
154,7.41E-113,8.90E-116,5.41E-148,1.08E-181,4.97E-123,3.97E-271,1.95E-20,4.25E-62,1.22E-102,1.22E-102,1.22E-102,8.98E-41,6.19E-43,7.04E-43,2.05E-37,1.90E-38,1.74E-44,5.06E-39,0,0,0,4.83E-37,2.96E-37,3.11E-37,0,15.45331568
155,8.01E-22,4.67E-23,3.54E-25,8.66E-25,1.20E-25,2.17E-24,9.57E-09,4.54E-07,1.01E-23,1.01E-23,1.01E-23,1.36E-12,1.65E-17,1.89E-17,3.06E-09,3.57E-09,4.32E-17,2.91E-18,3.76E-12,2.42E-05,0,1.96E-14,3.26E-15,3.79E-15,7.77E-16,2.132794467
156,0.002736879,0.00025997,0.000942146,0.000893149,0.000953766,0.0008739,0.000501643,0.12640213,0.308394657,0.308394657,0.308394657,0.00634772,0.00010708,0.000109607,0.005476214,0.005370364,0.000159322,0.002781244,0.00839341,0.006749568,0.17289,2.33E-06,2.02E-06,2.06E-06,0.371093368,0.677126123
157,8.77E-180,7.67E-195,3.25E-245,8.63E-287,3.45E-212,0,1.44E-22,5.40E-77,1.05E-135,1.05E-135,1.05E-135,9.09E-48,2.36E-47,2.69E-47,4.56E-41,5.15E-42,2.53E-48,4.59E-41,0,0,0,1.54E-40,1.69E-41,5.71E-42,2.22E-16,19.43761508
158,0,0,0,0,0,0,1.66E-28,2.15E-83,1.42E-170,1.42E-170,1.42E-170,8.39E-61,1.21E-53,1.46E-53,8.73E-51,5.55E-52,4.16E-55,7.51E-52,0,0,0,4.70E-53,6.54E-52,3.74E-52,0,46.16212463
159,0.018606762,0.00133599,0.009195264,0.008977329,0.00900632,0.00910435,0.001177953,0.236295156,0.554494436,0.554494436,0.554494436,0.022434769,0.000337732,0.000345702,0.023961351,0.023375164,0.000556864,0.017065631,0.033017014,0.011951641,0.29904,1.19E-05,1.12E-05,1.14E-05,0.440843606,0.537390387
160,1.08E-219,9.92E-236,1.92E-289,3.8043054729776e-322,3.51E-260,0,2.68E-23,1.21E-77,1.70E-143,1.70E-143,1.70E-143,1.28E-47,7.30E-46,8.06E-46,2.52E-42,3.93E-43,1.06E-47,7.81E-42,0,0,0,4.30E-40,1.80E-41,1.40E-41,2.89E-15,20.22243104
161,9.70E-186,4.69E-200,1.80E-254,1.01E-283,5.53E-227,0,2.79E-22,3.14E-75,2.79E-135,2.79E-135,2.79E-135,9.53E-47,2.96E-45,3.27E-45,3.60E-41,5.15E-42,1.71E-46,8.60E-41,0,0,0,4.24E-39,2.16E-40,8.99E-41,0,19.37655436
162,4.27E-10,6.33E-11,2.67E-11,9.11E-11,4.76E-12,4.04E-10,1.23E-05,0.00324944,3.79E-07,3.79E-07,3.79E-07,6.59E-06,4.70E-07,4.92E-07,0.000129485,0.000133124,2.89E-08,3.77E-08,3.97E-07,0.000224525,0,9.57E-09,3.36E-09,3.61E-09,0.035961077,1.14450502
163,1.02E-91,1.08E-88,2.43E-109,4.50E-129,6.14E-94,2.48E-173,5.23E-19,2.45E-56,6.29E-89,6.29E-89,6.29E-89,9.42E-35,4.36E-38,4.80E-38,6.42E-32,1.62E-32,5.15E-40,3.33E-37,0,0,0,3.98E-34,2.67E-34,1.44E-34,0,10.52847102
164,6.44E-57,9.12E-55,5.72E-64,8.96E-67,2.79E-61,1.13E-70,6.36E-15,6.15E-44,2.54E-62,2.54E-62,2.54E-62,1.26E-25,1.03E-30,1.28E-30,2.08E-23,1.56E-23,1.19E-31,5.81E-30,0,0,0,3.03E-26,4.99E-27,2.18E-27,0,5.926110383
165,6.36E-77,5.29E-71,6.34E-89,1.16E-101,2.01E-77,7.61E-125,5.51E-18,3.17E-50,2.26E-77,2.26E-77,2.26E-77,5.84E-33,5.91E-37,6.60E-37,2.34E-30,8.52E-31,1.24E-38,9.64E-37,0,0,0,2.33E-33,3.85E-33,1.50E-33,0,9.78332568
166,1.01E-87,8.62E-87,9.10E-109,3.22E-126,1.05E-94,1.90E-167,3.57E-18,5.50E-54,4.51E-87,4.51E-87,4.51E-87,2.82E-35,8.68E-39,9.57E-39,1.40E-32,3.20E-33,9.26E-40,4.43E-35,0,0,0,4.29E-32,9.24E-33,5.74E-33,0,10.81828538
167,2.82E-32,5.46E-36,2.06E-38,4.57E-41,2.98E-35,3.57E-45,2.02E-13,2.54E-21,5.49E-33,5.49E-33,5.49E-33,5.07E-23,1.10E-26,1.24E-26,1.06E-17,2.22E-17,1.52E-27,4.81E-30,0,3.80E-05,0,1.27E-23,3.78E-24,2.01E-23,2.55E-15,4.348098543
168,5.79E-297,6.75325475084832e-313,0,0,0,0,1.96E-24,2.94E-84,3.04E-163,3.04E-163,3.04E-163,2.62E-50,9.13E-48,1.01E-47,2.15E-45,5.07E-46,2.98E-49,5.25E-44,0,0,0,5.46E-42,1.18E-43,3.27E-44,7.77E-16,24.84075033
169,0.258977531,0.037634127,0.332999112,0.333177621,0.333201163,0.333633703,0.031550454,0.649180167,0.825089612,0.825089612,0.825089612,0.18957023,0.00394477,0.004045893,0.187797076,0.183010546,0.004292613,0.173836113,0.202764694,0.055941278,0.48981,0.000261807,0.000322643,0.000228967,0.576847315,0.3160685
170,1.11E-35,6.66E-37,5.20E-41,9.97E-39,1.51E-44,3.19E-36,5.87E-10,1.67E-09,5.19E-44,5.19E-44,5.19E-44,2.44E-16,2.53E-21,3.02E-21,1.67E-14,1.59E-14,4.40E-22,2.77E-18,7.90E-15,0,0,2.73E-16,2.47E-17,1.50E-17,0,3.164017731
171,1.19E-117,2.04E-124,1.62E-149,2.40E-170,8.37E-131,5.16E-216,3.17E-20,1.46E-67,2.02E-108,2.02E-108,2.02E-108,1.14E-42,5.86E-42,6.50E-42,1.36E-34,2.73E-35,4.76E-44,5.46E-37,0,0,0,8.12E-35,9.95E-36,7.09E-36,2.00E-15,11.78439203
172,0,0,0,0,0,0,2.22E-26,1.20E-93,3.21E-194,3.21E-194,3.21E-194,7.18E-55,2.73E-51,3.06E-51,1.28E-50,7.86E-51,8.51E-52,4.22E-48,0,0,0,9.93E-45,1.25E-46,7.20E-47,4.44E-16,34.0387389
173,2.75E-20,1.96E-21,1.14E-21,1.71E-21,7.45E-22,2.24E-21,2.12E-09,8.99E-16,1.33E-18,1.33E-18,1.33E-18,6.30E-12,2.07E-15,2.32E-15,8.01E-10,9.80E-10,1.07E-15,3.57E-19,2.13E-12,5.18E-05,0,4.20E-15,8.52E-16,1.30E-15,2.71E-11,2.131429886
174,0,0,0,0,0,0,4.42E-24,9.74E-97,6.28E-189,6.28E-189,6.28E-189,2.68E-48,1.55E-48,1.68E-48,2.22E-46,1.45E-46,9.85E-48,1.65E-42,0,0,0,6.98E-40,4.08E-42,2.94E-42,1.67E-15,23.15327567
175,1.68E-27,2.72E-30,7.84E-32,1.60E-33,9.13E-30,4.76E-36,1.77E-12,9.68E-19,1.83E-27,1.83E-27,1.83E-27,2.17E-21,8.96E-24,9.89E-24,2.75E-16,5.47E-16,1.02E-24,4.29E-29,1.35E-15,5.01E-05,0,2.35E-21,6.39E-22,2.46E-21,0,3.959796077
176,1.24E-282,2.28E-294,0,0,0,0,5.71E-24,6.66E-84,1.17E-159,1.17E-159,1.17E-159,1.69E-48,1.71E-47,1.88E-47,6.21E-45,1.45E-45,1.78E-49,6.88E-43,0,0,0,2.29E-41,4.64E-43,1.33E-43,1.11E-16,23.36888699
177,8.15E-259,1.19E-269,0,0,1.49428672387747e-318,0,1.80E-22,1.15E-85,7.87E-157,7.87E-157,7.87E-157,4.63E-49,8.52E-46,9.36E-46,1.59E-43,5.45E-44,2.21E-47,8.30E-40,0,0,0,1.56E-37,1.47E-39,5.21E-40,2.22E-16,19.63199659
178,3.56E-292,2.39078366022579e-319,0,0,0,0,1.52E-26,1.29E-82,3.53E-161,3.53E-161,3.53E-161,1.26E-52,2.08E-53,2.55E-53,1.34E-47,7.86E-49,9.13E-54,1.42E-47,0,0,0,1.53E-45,2.83E-46,3.11E-46,0,32.22976802
179,1.06E-160,4.98E-171,1.20E-220,2.16E-274,1.20E-178,0,7.59E-23,2.74E-69,2.96E-124,2.96E-124,2.96E-124,3.91E-48,1.51E-46,1.74E-46,1.07E-41,5.79E-43,2.05E-48,1.37E-42,0,0,0,3.77E-41,2.09E-41,1.64E-41,2.22E-16,21.40548966
180,1.89E-15,6.57E-18,3.71E-19,2.56E-19,4.87E-19,1.31E-19,1.13E-09,2.06E-08,8.15E-14,8.15E-14,8.15E-14,3.52E-11,1.09E-16,1.18E-16,8.12E-10,9.33E-10,4.30E-18,7.48E-17,7.99E-12,0.000119171,0,2.91E-16,1.05E-16,2.43E-16,0.035405943,2.115184485
181,1.69E-05,2.37E-06,2.36E-06,2.36E-06,2.35E-06,2.36E-06,2.25E-06,0.031129003,0.002956201,0.002956201,0.002956201,3.21E-14,5.26E-10,5.80E-10,3.76E-13,3.40E-13,1.63E-11,3.75E-15,4.60E-05,0.001773748,0,3.26E-18,1.86E-16,2.07E-16,0.270660532,2.701637481
182,2.11E-27,6.68E-29,9.61E-31,4.57E-31,2.80E-30,1.43E-31,1.53E-10,3.45E-16,6.26E-29,6.26E-29,6.26E-29,4.57E-15,7.91E-19,9.16E-19,1.32E-13,1.76E-13,1.01E-20,5.11E-19,2.32E-14,2.94E-05,0,1.18E-17,1.92E-18,3.32E-18,1.55E-15,2.843319074
183,0.002368284,0.000309327,0.001467399,0.001412589,0.001484265,0.00142159,0.000922822,0.09855128,0.294913075,0.294913075,0.294913075,0.010862698,0.000336403,0.000344181,0.011016551,0.01092442,0.000323252,0.003130909,0.005033167,0.00683247,0.08159,8.95E-06,7.09E-06,7.02E-06,0.370575521,0.629064795
184,9.23E-149,2.71E-159,1.01E-204,5.44E-237,1.53E-177,2.0675155505067e-310,3.21E-21,8.41E-74,6.87E-124,6.87E-124,6.87E-124,1.16E-44,2.31E-45,2.60E-45,5.11E-39,6.56E-40,4.14E-46,1.16E-38,0,0,0,7.03E-37,4.49E-38,2.77E-38,0,16.44960047
185,3.16E-68,1.01E-71,2.04E-92,8.43E-92,4.54E-93,3.74E-91,5.35E-14,3.09E-22,8.14E-78,8.14E-78,8.14E-78,1.06E-28,2.45E-31,3.19E-31,1.30E-25,8.66E-26,4.38E-33,1.27E-25,0,0,0,6.14E-23,2.20E-24,1.07E-24,0,6.619480913
186,5.31E-53,3.79E-53,8.97E-59,8.45E-59,5.62E-59,5.50E-59,7.91E-14,2.34E-35,7.68E-61,7.68E-61,7.68E-61,8.02E-25,3.61E-29,4.59E-29,7.66E-22,5.89E-22,3.61E-29,2.61E-27,0,0,0,7.96E-24,7.24E-25,5.10E-25,1.33E-15,5.419730581
187,0.000224148,1.57E-05,0.000108035,0.000116149,0.000103834,0.000120422,0.000206379,0.019664766,0.087108131,0.087108131,0.087108131,0.002090436,4.02E-05,4.15E-05,0.002940304,0.002933446,1.45E-05,0.00101129,9.95E-05,0.002364421,0.03381,6.33E-07,4.08E-07,3.43E-07,0.265995619,0.733454705
188,3.82E-22,8.54E-23,4.10E-24,4.52E-23,1.70E-25,8.80E-22,4.10E-08,4.08E-08,3.52E-26,3.52E-26,3.52E-26,9.02E-12,8.23E-16,9.34E-16,8.62E-09,9.37E-09,6.28E-16,9.16E-14,1.54E-11,0,0,2.27E-13,3.74E-14,2.68E-14,3.11E-15,1.945907585
189,1.67E-270,1.91E-276,5.73E-306,4.49E-284,0,4.95E-260,7.63E-21,3.66E-109,5.00E-202,5.00E-202,5.00E-202,5.16E-46,1.76E-40,2.50E-40,2.77E-43,4.02E-43,8.27E-41,1.99E-37,0,0,0,3.07E-34,1.42E-36,6.15E-37,3.33E-16,16.78226577
190,6.13E-190,2.02E-205,3.18E-269,0,1.31E-208,0,1.73E-25,2.07E-72,6.01E-138,6.01E-138,6.01E-138,7.11E-55,3.55E-52,4.57E-52,4.30E-45,6.12E-47,2.00E-52,1.90E-49,0,0,0,6.00E-50,3.23E-47,1.97E-46,4.44E-16,37.22634317
191,2.39E-11,4.83E-12,4.29E-12,2.09E-11,4.62E-13,1.06E-10,3.05E-06,2.46E-09,1.14E-07,1.14E-07,1.14E-07,1.64E-06,2.81E-07,2.95E-07,5.87E-06,6.17E-06,4.69E-09,1.59E-07,1.48E-07,0.000170984,0,7.75E-10,2.53E-10,2.82E-10,0.038270274,1.216414715
192,2.84E-177,2.95E-189,6.64E-238,2.78E-255,3.68E-220,1.34E-288,4.65E-21,9.28E-80,1.55E-135,1.55E-135,1.55E-135,2.01E-44,8.01E-45,8.76E-45,2.04E-39,4.40E-40,1.08E-45,6.43E-38,0,0,0,2.79E-36,6.03E-38,2.16E-38,1.11E-15,16.37445752
193,2.84E-47,1.47E-49,3.11E-56,1.26E-63,1.30E-48,8.44E-76,1.51E-15,3.01E-31,6.12E-48,6.12E-48,6.12E-48,5.59E-28,7.35E-33,8.56E-33,4.03E-24,8.29E-24,1.34E-33,5.08E-35,0,0,0,3.45E-29,3.82E-29,9.79E-28,0,6.708242229
194,0,0,0,0,0,0,4.11E-28,8.35E-88,7.67E-182,7.67E-182,7.67E-182,9.62E-60,1.95E-53,2.30E-53,2.00E-51,3.69E-52,8.53E-55,7.40E-51,0,0,0,6.10E-50,1.70E-50,1.40E-50,3.44E-15,41.8656828
195,1.83E-07,2.59E-09,7.69E-09,7.21E-09,7.98E-09,6.15E-09,3.49E-06,0.000947821,0.000163201,0.000163201,0.000163201,1.66E-05,1.14E-08,1.21E-08,2.80E-05,2.85E-05,6.63E-07,9.14E-07,9.52E-07,0.000787565,0.00449,3.63E-10,1.96E-10,1.82E-10,0.110825193,1.133089076
196,9.91E-133,1.63E-142,3.34E-163,9.03E-166,2.14E-160,2.66E-170,2.87E-19,3.32E-73,1.88E-116,1.88E-116,1.88E-116,3.77E-38,3.44E-39,4.76E-39,8.25E-35,2.61E-35,3.45E-40,1.68E-34,0,0,0,8.13E-33,1.98E-34,7.13E-35,5.22E-15,11.85219209
197,2.33E-174,1.83E-179,3.76E-206,8.04E-195,2.03E-222,3.76E-182,4.04E-19,8.68E-85,7.57E-136,7.57E-136,7.57E-136,5.01E-38,6.78E-38,9.36E-38,4.09E-35,2.61E-35,9.08E-39,1.07E-32,0,0,0,1.53E-31,1.53E-33,5.15E-34,0,11.16498968
198,3.67E-82,4.47E-78,2.46E-97,5.64E-112,4.75E-85,1.15E-142,2.43E-18,1.64E-54,2.29E-83,2.29E-83,2.29E-83,1.30E-36,4.52E-39,5.11E-39,9.25E-31,2.94E-31,1.36E-40,3.65E-36,0,0,0,1.75E-32,1.07E-32,4.03E-33,3.33E-16,9.687486372
199,7.17E-30,1.47E-31,5.04E-37,3.39E-39,2.06E-34,2.31E-42,1.40E-11,2.39E-12,1.72E-31,1.72E-31,1.72E-31,7.59E-20,7.27E-24,7.92E-24,5.20E-16,7.84E-16,2.84E-24,9.03E-27,2.95E-15,2.59E-05,0,7.76E-20,1.38E-20,3.51E-20,7.77E-16,3.779081428
200,2.89E-29,7.82E-33,2.71E-34,6.13E-36,5.12E-32,1.24E-38,1.10E-12,1.17E-19,8.09E-30,8.09E-30,8.09E-30,1.73E-20,9.31E-25,1.03E-24,6.46E-16,1.24E-15,1.59E-24,1.14E-27,3.64E-16,4.66E-05,0,5.12E-22,1.26E-22,5.43E-22,3.44E-15,3.743381973
